,CP,CA,F,C,N,R,PRP,ASM,CON,E,ENG,IDM,DIV
130,0.883384615,29997.32842,12371.52895,0.001015719,0.599999973,865608.3722,2.030103604,0.532571982,0.1791625,1.195262199,1.229955229,0.949131356,3
131,0.009010281,133.3746086,0.068182276,184.3000963,0.911668926,559619.8197,4.059974838,0.538978069,0.1950125,1.095133516,1.23337014,0.948834283,3
132,1.093714286,41715.97153,26062.55227,0.000482148,1,486277,1.914,0.550978481,0.174975,0.5,1.2357559,0.946980108,3
133,1.093714286,41166.68097,25719.37642,0.000488581,1,479874,1.914,0.554652467,0.183370833,0.5,1.218480121,0.945728481,3
134,1.093714286,42557.27912,26588.16925,0.000472616,1,496084,1.914,0.550902379,0.204791667,0.5,1.191843366,0.949070164,3
135,1.093714286,41177.74742,25726.29031,0.00048845,1,480003,1.914,0.555103262,0.157441667,0.5,1.234780981,0.949672526,3
136,1.093714286,41959.94816,26214.97958,0.000479344,1,489121,1.914,0.553572034,0.146708333,0.5,1.162775543,0.952597491,3
137,1.093714286,40380.70563,25228.32892,0.000498091,1,470712,1.914,0.57031252,0.204854167,0.5,1.114951579,0.954569499,3
138,1.093714286,41833.8421,26136.19331,0.000480789,1,487651,1.914,0.55500615,0.176954167,0.5,1.179478767,0.951602715,3
139,0.008825983,118.62446,0.061915628,202.9536072,0.910553187,500884.5242,3.963998653,0.577723898,0.220170833,1.096504475,1.150430678,0.951385865,3
140,1.093714286,37282.52843,23292.70565,0.000539482,1,434597,1.914,0.580235258,0.163625,0.5,1.21976326,0.948234654,3
141,0.712375,11005.33236,2253.032764,0.005577371,0.321428554,1159480.065,2.268378936,0.63978141,0.177891667,2.702023802,1.002875812,0.955164827,3
142,1.093714286,56326.94601,35190.93337,0.000357081,1,656595,1.914,0.432263158,0.212008333,0.5,1.650068912,0.927658202,4
143,1.093714286,59952.53823,37456.06548,0.000335486,1,698858,1.914,0.393221866,0.231616667,0.5,1.815973572,0.917022595,4
144,0.005090147,235.9396821,0.589863891,21.30321958,0.962317929,809802.0168,2.035882121,0.362036156,0.209283333,1.037119808,1.815684344,0.920346405,4
